run_id,question_id,mode,category,question,session_id,http_status,request_success,validated_success,validation_status,assertion_type,assertion_detail,failure_type,error_detail,client_request_latency_ms,server_handler_latency_ms,app_startup_latency_ms,sql_execution_latency_ms,final_llm_response,response_text,sql_query,query_results,sql_execution_success,sql_execution_error,model_name,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd
20260403_152951,q001,mcp,shootings,Give me US shootings in Louisiana from the year 2014.,100001,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,11925.36,11906.447,2015.717,,"IncidentID,Address,IncidentDate,State,CityOrCountry,VictimsKilled,VictimsInjured
95500,3600 block of Highway 80 W,2014-01-12,louisiana,Tallulah,0,6","IncidentID,Address,IncidentDate,State,CityOrCountry,VictimsKilled,VictimsInjured
95500,3600 block of Highway 80 W,2014-01-12,louisiana,Tallulah,0,6",,,,,gpt-5-mini,17000,545,17545,
20260403_152951,q002,mcp,unemployment,Give me the unemployment rate for Georgia in 2023.,100002,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,5155.585,5140.097,2015.717,,Georgia — Unemployment rate in 2023: 3.3% (up 0.1 percentage point from 2022). State rank: 35.,Georgia — Unemployment rate in 2023: 3.3% (up 0.1 percentage point from 2022). State rank: 35.,,,,,gpt-5-mini,16257,63,16320,
20260403_152951,q003,mcp,unemployment,How does the unemployment rate in Hawaii compare to Indiana in 2023?,100003,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,6229.305,6221.83,2015.717,,"Hawaii (2023): 2.9% (down 0.4 percentage points from 2022), rank = 6  
Indiana (2023): 3.4% (up 0.3 percentage points from 2022), rank = 44

Hawaii’s 2023 unemployment rate was 0.5 percentage points lower than Indiana’s; Hawaii improved year-over-year while Indiana’s rate increased.","Hawaii (2023): 2.9% (down 0.4 percentage points from 2022), rank = 6  
Indiana (2023): 3.4% (up 0.3 percentage points from 2022), rank = 44

Hawaii’s 2023 unemployment rate was 0.5 percentage points lower than Indiana’s; Hawaii improved year-over-year while Indiana’s rate increased.",,,,,gpt-5-mini,16813,123,16936,
20260403_152951,q004,mcp,unemployment,What were the five states with the lowest unemployment rates in 2022?,100004,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,9379.256,9359.05,2015.717,,"1. South Dakota — 1.9%
2. North Dakota — 2.1%
3. Nebraska — 2.2%
4. New Hampshire — 2.4%
5. Utah — 2.4%","1. South Dakota — 1.9%
2. North Dakota — 2.1%
3. Nebraska — 2.2%
4. New Hampshire — 2.4%
5. Utah — 2.4%",,,,,gpt-5-mini,16738,293,17031,
20260403_152951,q005,mcp,ngo,Give me the full name and full address of the NGO with EIN 100006500.,100005,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,4451.04,4439.622,2015.717,,"Name: Lebanon Volunteer Fire Department
Full address: PO BOX 51, LEBANON, CT 06249-0051, Lebanon County, Connecticut","Name: Lebanon Volunteer Fire Department
Full address: PO BOX 51, LEBANON, CT 06249-0051, Lebanon County, Connecticut",,,,,gpt-5-mini,16237,64,16301,
20260403_152951,q006,mcp,ngo,Give me NGOs in Albany County.,100006,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,15343.888,15325.021,2015.717,,"Ein,Name,City,State,County,Ntee_Code,Category
222719837,100 South Swan Street Realty Corp,Albany,NY,Albany County,S47,Community Improvement, Capacity Building
352433476,105Th Military Police Company Alumni Association Troy New York,Latham,NY,Albany County,W30,Public & Societal Benefit
100004869,195 Fort Edward Inc,Albany,NY,Albany County,S47,Community Improvement, Capacity Building
352381188,2-1-1 New York Inc,Latham,NY,Albany County,E70,Health Care
141760872,222 Riverside Plaza Corp,Albany,NY,Albany County,C99,Environment

Would you like more results or details on any specific EIN?","Ein,Name,City,State,County,Ntee_Code,Category
222719837,100 South Swan Street Realty Corp,Albany,NY,Albany County,S47,Community Improvement, Capacity Building
352433476,105Th Military Police Company Alumni Association Troy New York,Latham,NY,Albany County,W30,Public & Societal Benefit
100004869,195 Fort Edward Inc,Albany,NY,Albany County,S47,Community Improvement, Capacity Building
352381188,2-1-1 New York Inc,Latham,NY,Albany County,E70,Health Care
141760872,222 Riverside Plaza Corp,Albany,NY,Albany County,C99,Environment

Would you like more results or details on any specific EIN?",,,,,gpt-5-mini,15800,648,16448,
20260403_152951,q007,mcp,ngo,Which states have the most religion-related NGOs?,100007,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,20365.432,20343.661,2015.717,,"Here are the top 10 states with the largest counts of religion-related NGOs (from the ngos_with_categorization table, filtering Category LIKE '%Relig%'):

1. NY — 17,655
2. CA — 12,977
3. OH — 11,201
4. PA — 11,124
5. TX — 7,153
6. IN — 7,148
7. NJ — 6,804
8. FL — 6,081
9. IL — 4,311
10. GA — 3,453

Notes: counts are raw NGO row counts in the dataset (state field uses two-letter abbreviations). If you want these adjusted per capita, limited to a specific state, or to see the full ranking or underlying rows, I can run that next.","Here are the top 10 states with the largest counts of religion-related NGOs (from the ngos_with_categorization table, filtering Category LIKE '%Relig%'):

1. NY — 17,655
2. CA — 12,977
3. OH — 11,201
4. PA — 11,124
5. TX — 7,153
6. IN — 7,148
7. NJ — 6,804
8. FL — 6,081
9. IL — 4,311
10. GA — 3,453

Notes: counts are raw NGO row counts in the dataset (state field uses two-letter abbreviations). If you want these adjusted per capita, limited to a specific state, or to see the full ranking or underlying rows, I can run that next.",,,,,gpt-5-mini,23661,927,24588,
20260403_152951,q008,mcp,faa,Look up FAA registration N100 in the master registry.,100008,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,14989.155,14974.303,2015.717,,"n_number,serial_number,mfr_mdl_code,eng_mfr_mdl,year_mfr,owner_type,registrant_name,street,street2,city,state,zip_code,region,county,country,last_action_date,cert_issue_date,certification,airworthiness_classification,approved_operations,type_aircraft,type_engine,status_code,mode_s_code,fract_owner,air_worth_date,other_names1,other_names2,other_names3,other_names4,other_names5,expiration_date,unique_id,kit_mfr,kit_model,mode_s_code_hex
N100,5334,7100510,17003,1940,Individual,BENE MARY D,PO BOX 329,None,KETCHUM,OK,743490329,Southwestern,97,US,2023-01-22,2005-05-06,1,Standard,None,Fixed wing single engine,Reciprocating,Valid Registration,50002263,None,1954-04-30,None,None,None,None,None,2027-04-30,600060,None,None,A004B3

Summary: N100 is registered to BENE MARY D in KETCHUM, OK; fixed wing single engine (year 1940), status ""Valid Registration"", cert issue date 2005-05-06, expiration 2027-04-30.","n_number,serial_number,mfr_mdl_code,eng_mfr_mdl,year_mfr,owner_type,registrant_name,street,street2,city,state,zip_code,region,county,country,last_action_date,cert_issue_date,certification,airworthiness_classification,approved_operations,type_aircraft,type_engine,status_code,mode_s_code,fract_owner,air_worth_date,other_names1,other_names2,other_names3,other_names4,other_names5,expiration_date,unique_id,kit_mfr,kit_model,mode_s_code_hex
N100,5334,7100510,17003,1940,Individual,BENE MARY D,PO BOX 329,None,KETCHUM,OK,743490329,Southwestern,97,US,2023-01-22,2005-05-06,1,Standard,None,Fixed wing single engine,Reciprocating,Valid Registration,50002263,None,1954-04-30,None,None,None,None,None,2027-04-30,600060,None,None,A004B3

Summary: N100 is registered to BENE MARY D in KETCHUM, OK; fixed wing single engine (year 1940), status ""Valid Registration"", cert issue date 2005-05-06, expiration 2027-04-30.",,,,,gpt-5-mini,15903,718,16621,
20260403_152951,q009,mcp,shootings,Show 5 shooting incidents in Texas ordered by most recent date.,100009,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,14976.328,14955.808,2015.717,,"I couldn't find any shooting incidents for Texas in the dataset.

Would you like me to:
- Show the 5 most recent shootings nationwide instead?
- Try another state (e.g., California, New York, Florida)?
- Run a case-insensitive search/SQL check for Texas to double-check the database?

Tell me which option you want.","I couldn't find any shooting incidents for Texas in the dataset.

Would you like me to:
- Show the 5 most recent shootings nationwide instead?
- Try another state (e.g., California, New York, Florida)?
- Run a case-insensitive search/SQL check for Texas to double-check the database?

Tell me which option you want.",,,,,gpt-5-mini,23599,607,24206,
20260403_152951,q010,mcp,unemployment,Which state had the highest unemployment rate in 2023?,100010,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,9126.732,9103.684,2015.717,,"Nevada — 5.2% unemployment rate in 2023.

Would you like the top 10 states or the full ranking?","Nevada — 5.2% unemployment rate in 2023.

Would you like the top 10 states or the full ranking?",,,,,gpt-5-mini,15714,337,16051,
